,true_x,true_y,true_yaw,odo_x,odo_y,odo_yaw,z_x,z_y,u_dl,u_dtheta,z_n,u_dl_n,u_dtheta_n
177,9.84226860164,12.0277995455,1.78,9.76914741299,11.635165554,1.78026491868,0.0,0.0,0.00999349937243,0.0196021411737,0.0,0.05,0.01
178,9.82150050148,12.1256192062,1.79,9.73985100039,11.772974632,1.80076650771,0.0,0.0,0.140888685782,0.0205015890358,0.0,0.05,0.01
179,9.79975525941,12.2232262984,1.8,9.72295119378,11.845161505,1.80282862582,0.0,0.0,0.0741387084194,0.002062118112,0.0,0.05,0.01
180,9.77703504994,12.3206110615,1.81,9.69673640496,11.9561056812,1.80698601278,0.0,0.0,0.113999234213,0.00415738696012,0.0,0.05,0.01
181,9.75334214507,12.417763757,1.82,9.67300316152,12.0547140058,1.8198455085,0.0,0.0,0.101424200872,0.0128594957184,0.0,0.05,0.01
182,9.72867891408,12.5146746699,1.83,9.63441208751,12.2064506149,1.82900512808,0.0,0.0,0.156567140628,0.0091596195768,0.0,0.05,0.01
183,9.70304782325,12.6113341091,1.84,9.64138876996,12.1800342435,1.8404006673,0.0,0.0,-0.0273221297572,0.0113955392259,0.0,0.05,0.01
184,9.67645143569,12.7077324087,1.85,9.61838096592,12.2632956317,1.82770499205,0.0,0.0,0.0863818141467,-0.0126956752548,0.0,0.05,0.01
185,9.64889241101,12.803859929,1.86,9.57174790433,12.4408005797,1.84639326737,0.0,0.0,0.183528332905,0.0186882753218,0.0,0.05,0.01
186,9.62037350509,12.8997070573,1.87,9.53644249974,12.5656458955,1.84872049459,0.0,0.0,0.129741375319,0.00232722721568,0.0,0.05,0.01
187,9.59089756979,12.995264209,1.88,9.5129253368,12.6480731238,1.87262578567,0.0,0.0,0.0857164214806,0.0239052910874,0.0,0.05,0.01
188,9.56046755268,13.0905218284,1.89,9.4732511965,12.7755026143,1.89187924435,0.0,0.0,0.133462775563,0.0192534586783,0.0,0.05,0.01
189,9.52908649675,13.1854703899,1.9,9.435374901,12.8893848844,1.90017306085,0.0,0.0,0.120015770698,0.00829381649511,0.0,0.05,0.01
190,9.49675754006,13.2801003987,1.91,9.3831048001,13.0422980603,1.89765223248,0.0,0.0,0.161600132468,-0.00252082836564,0.0,0.05,0.01
191,9.46348391549,13.3744023918,1.92,9.32615598003,13.2102809175,1.92722873178,0.0,0.0,0.177373640649,0.0295764992987,0.0,0.05,0.01
192,9.42926895038,13.4683669392,1.93,9.27351241028,13.3516684709,1.9291982406,0.0,0.0,0.150870095421,0.00196950882277,0.0,0.05,0.01
193,9.39411606618,13.5619846444,1.94,9.2394533406,13.4425946285,1.93380868928,0.0,0.0,0.0970957587364,0.00461044867979,0.0,0.05,0.01
194,9.35802877817,13.6552461458,1.95,9.19663499306,13.5553201985,1.9340886882,0.0,0.0,0.12058385057,0.000279998920146,0.0,0.05,0.01
195,9.32101069503,13.7481421173,1.96,9.17479504938,13.6127685858,1.92553317352,0.0,0.0,0.0614597457244,-0.00855551468573,0.0,0.05,0.01
196,9.28306551855,13.8406632694,1.97,9.14221053583,13.7007383466,1.94700955043,0.0,0.0,0.0938106035534,0.0214763769153,0.0,0.05,0.01
197,9.24419704322,13.93280035,1.98,9.07584753218,13.8687338513,1.95358980131,0.0,0.0,0.180628175697,0.00658025088092,0.0,0.05,0.01
198,9.20440915584,14.0245441456,1.99,9.04802722616,13.937825937,1.96721659177,0.0,0.0,0.0744827881553,0.013626790452,0.0,0.05,0.01
199,9.16370583517,14.1158854817,2.0,9.01599780473,14.0143451812,1.99369770167,9.27828261864,14.0996842201,0.0829522668355,0.0264811099054,0.1,0.05,0.01
200,9.12209115152,14.2068152244,2.01,8.9949669232,14.0610745484,1.99679046046,0.0,0.0,0.0512438458171,0.00309275879143,0.0,0.05,0.01
201,9.07956926631,14.2973242807,2.02,8.94659730783,14.1676668623,2.01522684178,0.0,0.0,0.117053582116,0.0184363813139,0.0,0.05,0.01
202,9.0361444317,14.3874035999,2.03,8.92334689391,14.2164913096,2.01336813044,0.0,0.0,0.0540777994776,-0.00185871133523,0.0,0.05,0.01
203,8.99182099013,14.477044174,2.04,8.8791570307,14.3097333971,2.0220554901,0.0,0.0,0.103183481699,0.00868735965749,0.0,0.05,0.01
204,8.94660337392,14.5662370391,2.05,8.83922916904,14.3921253098,2.02909442813,0.0,0.0,0.0915568752883,0.00703893803303,0.0,0.05,0.01
205,8.90049610478,14.6549732759,2.06,8.77595826918,14.520377769,2.06496008532,0.0,0.0,0.143010139727,0.0358656571923,0.0,0.05,0.01
206,8.8535037934,14.743244011,2.07,8.70817132613,14.6462007649,2.08175218065,0.0,0.0,0.142921292855,0.0167920953251,0.0,0.05,0.01
207,8.80563113899,14.8310404173,2.08,8.63977906469,14.7681959764,2.10037125191,0.0,0.0,0.139858260612,0.0186190712602,0.0,0.05,0.01
208,8.75688292876,14.9183537153,2.09,8.58568400149,14.8606114865,2.11446170301,0.0,0.0,0.107083623203,0.0140904510965,0.0,0.05,0.01
209,8.70726403748,15.0051751736,2.1,8.53163516728,14.9500336831,2.10343614999,0.0,0.0,0.104487347226,-0.0110255530129,0.0,0.05,0.01
210,8.65677942702,15.0914961103,2.11,8.50760977998,14.9907913891,2.10163784172,0.0,0.0,0.0473118360701,-0.00179830826952,0.0,0.05,0.01
211,8.60543414579,15.1773078932,2.12,8.38443565242,15.2006109141,2.11879776586,0.0,0.0,0.243302484095,0.0171599241312,0.0,0.05,0.01
212,8.55323332828,15.2626019414,2.13,8.3693328875,15.2253549924,2.13565693782,0.0,0.0,0.0289890137702,0.0168591719661,0.0,0.05,0.01
213,8.50018219452,15.3473697254,2.14,8.30948068323,15.3197976165,2.1403679107,0.0,0.0,0.111810981592,0.00471097287784,0.0,0.05,0.01
214,8.44628604958,15.4316027686,2.15,8.28257699747,15.3618107115,2.14996436279,0.0,0.0,0.0498889612589,0.00959645208845,0.0,0.05,0.01
215,8.39155028303,15.5152926477,2.16,8.2023035483,15.4845567393,2.15608253282,0.0,0.0,0.146664290122,0.00611817003459,0.0,0.05,0.01
216,8.3359803684,15.5984309937,2.17,8.07377902675,15.6784828186,2.15047741604,0.0,0.0,0.232649687024,-0.00560511677855,0.0,0.05,0.01
217,8.27958186265,15.681009493,2.18,8.00182898548,15.7883784059,2.16404438004,0.0,0.0,0.131353905669,0.0135669639985,0.0,0.05,0.01
218,8.22236040556,15.7630198878,2.19,7.86639711084,15.9892354177,2.16963375368,0.0,0.0,0.242250555972,0.00558937363429,0.0,0.05,0.01
219,8.16432171925,15.844453977,2.2,7.79999708119,16.0865346102,2.16150630497,0.0,0.0,0.117796845456,-0.00812744870517,0.0,0.05,0.01
220,8.10547160752,15.9253036174,2.21,7.69440809005,16.2439927783,2.16832457068,0.0,0.0,0.18958404404,0.00681826571341,0.0,0.05,0.01
221,8.04581595535,16.0055607241,2.22,7.65794119512,16.2975800371,2.18310714017,0.0,0.0,0.0648184289307,0.0147825694847,0.0,0.05,0.01
222,7.98536072824,16.0852172713,2.23,7.56328263559,16.432351399,2.19942700567,0.0,0.0,0.164692327948,0.016319865504,0.0,0.05,0.01
223,7.92411197168,16.1642652935,2.24,7.5117816385,16.5031899296,2.20510715535,0.0,0.0,0.0875811059638,0.0056801496779,0.0,0.05,0.01
224,7.86207581047,16.242696886,2.25,7.41534506307,16.6342645293,2.20651971906,0.0,0.0,0.162728497042,0.00141256371072,0.0,0.05,0.01
225,7.7992584482,16.3205042057,2.26,7.43665458451,16.6053866129,2.21341501601,0.0,0.0,-0.0358891314824,0.00689529695045,0.0,0.05,0.01
226,7.73566616654,16.3976794719,2.27,7.37569391852,16.6868171016,2.22064138313,0.0,0.0,0.101720830181,0.00722636711727,0.0,0.05,0.01
227,7.67130532467,16.4742149672,2.28,7.33174583298,16.7446465781,2.21933734492,0.0,0.0,0.0726338941228,-0.00130403820499,0.0,0.05,0.01
228,7.60618235862,16.550103038,2.29,7.23223428937,16.8759447873,2.21420087078,0.0,0.0,0.164747585867,-0.00513647414052,0.0,0.05,0.01
229,7.54030378063,16.6253360956,2.3,7.15837561921,16.9744428283,2.21563649693,0.0,0.0,0.123113635428,0.00143562614244,0.0,0.05,0.01
230,7.4736761785,16.6999066168,2.31,7.15072204654,16.9846191742,2.23323384878,0.0,0.0,0.0127332317742,0.0175973518488,0.0,0.05,0.01
